2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,Boys,,,,,,,,,,,,Girls,,,,,,,,,,,
,,Total number of pupils at the end of key stage 4,,,,Average Attainment 8 score of all pupils,,,,Average Progress 8 score of all pupils,,,,Total number of pupils at the end of key stage 4,,,,Average Attainment 8 score of all pupils,,,,Average Progress 8 score of all pupils,,,,Total number of pupils at the end of key stage 4,,,,Average Attainment 8 score of all pupils,,,,Average Progress 8 score of all pupils,,,
,Area,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp,Total,No SEN,Sen statement / EHC Plan,SEN Supp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Camden,"1,601","1,300",86,215,48.0,52.1,15.0,36.0,-0.03,0.11,-1.20,-0.40,735,563,65,107,43.9,49.4,14.8,32.3,-0.29,-0.10,-1.23,-0.73,866,737,21,108,51.4,54.2,15.7,39.7,0.20,0.27,-1.09,-0.05
,Hackney,"2,449","1,937",143,368,51.4,55.7,18.8,41.1,0.34,0.51,-0.74,-0.06,"1,130",824,105,201,48.5,54.2,19.5,40.1,0.14,0.35,-0.82,-0.20,"1,319","1,113",38,167,53.8,56.9,16.8,42.2,0.52,0.62,-0.51,0.11
,Hammersmith and Fulham,"1,519","1,244",112,163,54.8,59.7,13.2,45.9,0.47,0.63,-1.08,0.19,757,596,78,83,53.3,59.1,13.4,49.2,0.43,0.62,-1.14,0.36,762,648,34,80,56.2,60.2,12.5,42.5,0.51,0.63,-0.94,0.04
,Haringey,"2,716","2,217",128,371,48.2,51.0,18.3,41.6,0.21,0.30,-0.77,0.03,"1,400","1,106",83,211,45.8,49.2,18.1,39.0,0.04,0.13,-0.76,-0.06,"1,316","1,111",45,160,50.7,52.9,18.7,45.1,0.38,0.47,-0.80,0.15
,Islington,"1,530","1,185",89,255,46.7,51.6,11.8,36.2,-0.03,0.13,-1.07,-0.42,814,595,68,151,45.6,51.6,11.8,37.3,-0.06,0.14,-1.15,-0.34,716,590,21,104,48.0,51.7,11.8,34.5,0.00,0.13,-0.85,-0.54
,Kensington and Chelsea,997,819,59,119,53.5,57.4,24.0,41.0,0.30,0.46,-0.54,-0.36,600,479,47,74,52.8,57.4,27.5,39.4,0.27,0.46,-0.40,-0.49,397,340,12,45,54.4,57.4,10.1,43.5,0.34,0.45,-1.29,-0.14
,Lambeth,"2,440","1,909",177,354,44.8,49.3,16.8,34.2,0.01,0.20,-0.96,-0.54,"1,231",884,130,217,42.4,48.2,15.6,34.8,-0.12,0.12,-1.04,-0.57,"1,209","1,025",47,137,47.2,50.3,20.1,33.2,0.14,0.26,-0.73,-0.49
,Lewisham,"2,282","1,830",137,315,45.4,49.5,11.6,36.3,0.00,0.15,-1.08,-0.31,"1,131",836,100,195,42.7,48.2,12.2,34.8,-0.09,0.10,-1.06,-0.36,"1,151",994,37,120,48.0,50.5,10.1,38.7,0.09,0.18,-1.13,-0.23
