2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,Boys,,,,,,,,,,,,Girls,,,,,,,,,,,
,,Number of pupils at the end of KS4,,,,Average Attainment 8 score,,,,Average Progress 8 score,,,,Number of pupils at the end of KS4,,,,Average Attainment 8 score,,,,Average Progress 8 score,,,,Number of pupils at the end of KS4,,,,Average Attainment 8 score,,,,Average Progress 8 score,,,
,Area,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp,Total,No SEN,SEN State EHC,SEN Supp
,Camden,"1,605","1,267",89,249,47.9,52.2,18.9,36.3,-0.14,0.05,-1.13,-0.72,743,556,67,120,43.4,48.2,19.4,34.9,-0.42,-0.28,-1.08,-0.66,862,711,22,129,51.8,55.4,17.3,37.6,0.10,0.32,-1.26,-0.78
,Hackney,"2,468","1,968",123,377,51.2,55.4,20.1,39.2,0.51,0.66,-0.49,0.08,"1,169",881,85,203,50.1,55.7,19.1,39.2,0.43,0.59,-0.47,0.14,"1,299","1,087",38,174,52.1,55.2,22.2,39.1,0.58,0.72,-0.54,0.00
,Hammersmith and Fulham,"1,528","1,236",103,189,55.9,61.1,15.1,44.3,0.52,0.68,-0.86,0.22,759,587,73,99,53.2,60.3,13.8,39.9,0.39,0.59,-0.78,0.03,769,649,30,90,58.6,61.8,18.5,49.2,0.64,0.75,-1.04,0.43
,Haringey,"2,713","2,214",138,361,48.1,51.1,17.9,41.2,0.30,0.39,-0.64,0.09,"1,394","1,079",96,219,45.6,49.5,18.9,38.1,0.12,0.25,-0.69,-0.12,"1,319","1,135",42,142,50.8,52.7,15.6,46.0,0.48,0.53,-0.51,0.42
,Islington,"1,450","1,098",97,255,48.0,53.2,13.3,38.6,0.15,0.33,-0.97,-0.20,783,563,76,144,47.3,53.5,15.1,40.2,0.18,0.38,-0.83,-0.07,667,535,21,111,48.8,52.9,6.5,36.5,0.11,0.27,-1.50,-0.37
,Kensington and Chelsea,"1,005",811,66,128,54.5,58.1,27.8,45.2,0.30,0.40,-0.15,-0.09,614,480,54,80,54.3,58.6,27.7,46.6,0.29,0.39,-0.19,-0.01,391,331,12,48,54.7,57.4,28.3,42.9,0.31,0.41,0.01,-0.22
,Lambeth,"2,384","1,836",169,379,45.2,50.1,16.6,34.5,0.00,0.18,-0.80,-0.50,"1,204",855,122,227,43.2,48.7,17.2,36.5,-0.08,0.13,-0.85,-0.45,"1,180",981,47,152,47.3,51.2,15.0,31.6,0.08,0.23,-0.67,-0.58
,Lewisham,"2,308","1,812",137,359,45.9,50.3,11.4,37.1,0.10,0.22,-0.98,-0.08,"1,158",830,101,227,43.5,49.1,11.5,37.5,0.03,0.14,-0.95,0.02,"1,150",982,36,132,48.3,51.3,11.0,36.3,0.18,0.28,-1.07,-0.25
,Newham,"4,671","4,112",148,411,51.1,54.2,12.2,34.3,0.28,0.39,-0.93,-0.39,"2,314","1,986",99,229,48.5,52.0,12.8,33.4,0.11,0.21,-0.87,-0.29,"2,357","2,126",49,182,53.6,56.2,10.9,35.4,0.44,0.56,-1.06,-0.53
,Southwark,"3,233","2,624",162,446,51.9,55.5,17.3,43.7,0.46,0.57,-0.56,0.14,"1,581","1,221",112,248,50.9,55.7,17.9,42.0,0.47,0.63,-0.44,0.07,"1,652","1,403",50,198,52.9,55.2,15.8,45.9,0.46,0.53,-0.83,0.23
,Tower Hamlets,"3,207","2,547",211,339,48.3,53.7,21.8,36.3,0.13,0.30,-0.37,-0.28,"1,614","1,209",157,188,45.4,51.7,21.4,35.7,0.00,0.17,-0.38,-0.34,"1,593","1,338",54,151,51.3,55.5,23.2,37.2,0.26,0.41,-0.34,-0.20
,Wandsworth,"2,070","1,585",193,292,52.1,57.7,18.1,44.2,0.49,0.67,-0.54,0.24,"1,089",784,131,174,50.2,56.9,18.6,43.7,0.43,0.63,-0.50,0.23,981,801,62,118,54.2,58.5,17.0,44.9,0.57,0.70,-0.62,0.27
,Westminster,"1,782","1,465",80,237,53.8,57.7,20.3,41.4,0.47,0.63,-0.50,-0.19,893,717,51,125,50.0,54.3,18.5,38.6,0.23,0.37,-0.66,-0.23,889,748,29,112,57.6,60.9,23.5,44.6,0.70,0.87,-0.25,-0.15
,Barking and Dagenham,"3,131","2,687",146,296,47.2,50.7,14.0,31.2,0.24,0.36,-0.89,-0.33,"1,646","1,350",113,182,44.9,49.1,14.5,31.9,0.14,0.28,-0.87,-0.30,"1,485","1,337",33,114,49.8,52.4,12.3,29.9,0.34,0.44,-0.96,-0.39
,Barnet,"4,639","3,998",187,454,57.3,60.8,20.2,42.1,0.61,0.73,-0.59,0.14,"2,393","2,004",144,245,55.3,59.8,19.5,39.1,0.49,0.63,-0.69,0.05,"2,246","1,994",43,209,59.5,61.7,22.9,45.6,0.74,0.82,-0.25,0.25
,Bexley,"3,310","2,823",128,359,50.4,54.2,15.2,33.3,-0.02,0.11,-0.98,-0.65,"1,740","1,402",100,238,48.8,53.7,15.0,34.0,-0.07,0.09,-1.01,-0.63,"1,570","1,421",28,121,52.3,54.7,15.9,32.1,0.04,0.12,-0.85,-0.67
,Brent,"3,235","2,791",126,318,51.6,54.5,16.6,39.8,0.58,0.68,-0.86,0.27,"1,667","1,389",85,193,49.6,53.0,18.9,38.4,0.40,0.51,-0.72,0.13,"1,568","1,402",41,125,53.7,56.0,11.8,41.9,0.78,0.86,-1.12,0.50
,Bromley,"3,868","3,103",175,589,50.5,54.5,15.6,40.0,0.05,0.18,-1.09,-0.32,"1,945","1,483",124,337,48.4,53.2,17.8,38.5,-0.10,0.04,-1.06,-0.35,"1,923","1,620",51,252,52.7,55.7,10.3,41.9,0.20,0.31,-1.16,-0.27
,Croydon,"3,942","3,157",210,575,44.8,49.0,12.1,33.4,-0.04,0.13,-1.30,-0.47,"1,936","1,469",145,322,41.3,46.6,11.9,30.7,-0.21,-0.02,-1.27,-0.56,"2,006","1,688",65,253,48.1,51.1,12.6,36.8,0.13,0.26,-1.36,-0.35
,Ealing,"3,526","2,973",169,384,52.0,55.8,20.3,36.8,0.56,0.68,-0.50,0.10,"1,773","1,418",117,238,49.7,54.1,20.9,37.5,0.42,0.55,-0.38,0.13,"1,753","1,555",52,146,54.4,57.3,19.0,35.6,0.69,0.80,-0.75,0.03
,Enfield,"3,922","3,214",238,470,46.9,51.2,14.0,33.8,0.09,0.24,-1.10,-0.34,"2,006","1,591",160,255,44.7,49.9,12.6,32.5,-0.02,0.16,-1.17,-0.41,"1,916","1,623",78,215,49.1,52.5,16.9,35.3,0.20,0.32,-0.95,-0.25
,Greenwich,"3,034","2,424",163,446,46.5,50.3,18.1,36.3,-0.01,0.12,-0.75,-0.39,"1,514","1,147",118,249,44.2,48.5,19.2,36.0,-0.12,-0.01,-0.72,-0.33,"1,520","1,277",45,197,48.8,51.9,15.3,36.6,0.10,0.23,-0.83,-0.45
,Harrow,"2,733","2,353",115,265,52.2,55.4,18.7,38.5,0.46,0.58,-0.67,-0.08,"1,324","1,096",70,158,49.8,53.5,21.5,36.4,0.29,0.41,-0.45,-0.14,"1,409","1,257",45,107,54.5,57.1,14.2,41.5,0.61,0.72,-1.02,0.00
,Havering,"3,035","2,577",131,327,48.8,52.1,15.3,36.3,0.11,0.19,-0.75,-0.26,"1,526","1,253",92,181,46.8,51.0,15.2,34.1,0.01,0.12,-0.76,-0.34,"1,509","1,324",39,146,50.9,53.2,15.5,38.9,0.20,0.27,-0.74,-0.17
,Hillingdon,"3,679","3,141",163,375,49.3,52.9,17.2,33.7,0.24,0.37,-0.94,-0.28,"1,856","1,528",118,210,47.2,51.6,18.4,31.2,0.14,0.30,-0.87,-0.39,"1,823","1,613",45,165,51.5,54.1,14.1,36.9,0.34,0.43,-1.13,-0.13
,Hounslow,"3,412","2,784",144,429,50.1,54.6,21.4,37.1,0.45,0.63,-0.73,-0.22,"1,773","1,399",109,229,48.0,53.3,21.7,35.5,0.36,0.56,-0.66,-0.23,"1,639","1,385",35,200,52.4,55.8,20.5,38.8,0.54,0.70,-1.03,-0.21
,Kingston upon Thames,"1,986","1,650",108,228,59.1,63.3,20.8,46.9,0.65,0.80,-0.61,0.21,952,729,76,147,56.8,62.5,23.1,46.1,0.52,0.71,-0.52,0.19,"1,034",921,32,81,61.3,64.0,15.3,48.3,0.77,0.87,-0.87,0.24
,Merton,"1,789","1,328",118,343,51.7,56.6,21.8,42.6,0.61,0.77,-0.27,0.23,928,666,77,185,50.9,55.7,24.2,44.6,0.64,0.74,-0.09,0.49,861,662,41,158,52.5,57.6,17.2,40.2,0.58,0.80,-0.66,-0.06
,Redbridge,"3,957","3,438",147,372,55.2,58.2,20.1,41.9,0.52,0.60,-0.44,0.18,"1,978","1,661",99,218,52.0,55.4,20.3,40.3,0.37,0.45,-0.39,0.06,"1,979","1,777",48,154,58.4,60.7,19.6,44.2,0.67,0.73,-0.53,0.35
,Richmond upon Thames,"2,007","1,665",99,243,56.4,59.6,24.6,47.6,0.43,0.52,-0.45,0.23,"1,025",824,73,128,54.9,58.9,25.7,46.1,0.38,0.48,-0.29,0.16,982,841,26,115,58.1,60.4,21.6,49.2,0.49,0.56,-0.84,0.31
