2023/24,,All,,,,,,Boys,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,Percentage of pupils entered for English and Mathematics GCSEs,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs
E09000007,Camden,"1,605",47.9,-0.14,95.3,50.7,67.3,743,43.4,-0.42,93.7,45.6,63,862,51.8,+0.10,96.6,55,71
E09000012,Hackney,"2,468",51.2,+0.51,97,53.5,72.1,"1,169",50.1,+0.43,96.4,53.6,70.3,"1,299",52.1,+0.58,97.5,53.4,73.7
E09000013,Hammersmith and Fulham,"1,528",55.9,+0.52,95.2,64.4,79.2,759,53.2,+0.39,93.3,61.4,76.2,769,58.6,+0.64,97.1,67.4,82.2
E09000014,Haringey,"2,713",48.1,+0.30,95.8,49.6,67.1,"1,394",45.6,+0.12,95,47.1,64.4,"1,319",50.8,+0.48,96.7,52.2,70
E09000019,Islington,"1,450",48.0,+0.15,94.8,51.3,67,783,47.3,+0.18,94,51.2,67,667,48.8,+0.11,95.8,51.4,66.9
E09000020,Kensington and Chelsea,"1,005",54.5,+0.30,96.9,62.2,77.6,614,54.3,+0.29,96.3,64.2,78.3,391,54.7,+0.31,98,59.1,76.5
E09000022,Lambeth,"2,384",45.2,0.00,95.4,43.8,64.7,"1,204",43.2,-0.08,94.7,42.8,63.1,"1,180",47.3,+0.08,96.1,44.8,66.4
E09000023,Lewisham,"2,308",45.9,+0.10,95.7,45.6,65,"1,158",43.5,+0.03,94,43.1,63.6,"1,150",48.3,+0.18,97.3,48.2,66.4
E09000025,Newham,"4,671",51.1,+0.28,96.7,56.4,72.2,"2,314",48.5,+0.11,95.9,53.1,69.1,"2,357",53.6,+0.44,97.5,59.7,75.3
E09000028,Southwark,"3,233",51.9,+0.46,97.2,56.1,72.9,"1,581",50.9,+0.47,96.5,55.4,72.3,"1,652",52.9,+0.46,97.8,56.7,73.5
E09000030,Tower Hamlets,"3,207",48.3,+0.13,95.2,51.6,68.6,"1,614",45.4,0.00,93.8,49.4,65.7,"1,593",51.3,+0.26,96.7,53.9,71.6
E09000032,Wandsworth,"2,070",52.1,+0.49,96,59.1,73.6,"1,089",50.2,+0.43,95.4,57.7,72.2,981,54.2,+0.57,96.7,60.7,75.1
E09000033,Westminster,"1,782",53.8,+0.47,98.1,61.3,77,893,50.0,+0.23,97.8,56,73.5,889,57.6,+0.70,98.5,66.6,80.7
E09000002,Barking and Dagenham,"3,131",47.2,+0.24,96.7,46.9,65.5,"1,646",44.9,+0.14,96,44.2,62.9,"1,485",49.8,+0.34,97.4,49.9,68.4
E09000003,Barnet,"4,639",57.3,+0.61,97.9,66.6,80.3,"2,393",55.3,+0.49,97.2,64.1,78.9,"2,246",59.5,+0.74,98.8,69.2,81.8
E09000004,Bexley,"3,310",50.4,-0.02,96.5,55,70.8,"1,740",48.8,-0.07,95.9,53.7,69.4,"1,570",52.3,+0.04,97.2,56.4,72.3
E09000005,Brent,"3,235",51.6,+0.58,97.3,55.7,71.9,"1,667",49.6,+0.40,96.9,54,69.3,"1,568",53.7,+0.78,97.7,57.4,74.7
E09000006,Bromley,"3,868",50.5,+0.05,96.5,55.7,73,"1,945",48.4,-0.10,95.9,52.4,70.5,"1,923",52.7,+0.20,97,59,75.5
